rule_id,jurisdiction_code,domain,procedure_type,source_version,fundamento,citation,ley,articulo,requisitos,requiere_investigacion_mercado,riesgo_compliance,active,rule_version
LOPSRM_42_I_DERECHOS_EXCLUSIVOS,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. I: el contrato sólo puede celebrarse con una determinada persona por tratarse de obras de arte, licenciamiento exclusivo de patentes, derechos de autor u otros derechos exclusivos.",Art. 42 fracc. I LOPSRM,LOPSRM,42-I,"Acreditar el derecho exclusivo (patente, derecho de autor u obra de arte) | Dictamen de excepción fundado y motivado (Art. 41 LOPSRM) | Investigación de mercado documentada cuando proceda",true,ALTO,true,1
LOPSRM_42_II_CASO_FORTUITO,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. II: peligre o se altere el orden social, la economía, los servicios públicos, la salubridad, la seguridad o el ambiente de alguna zona o región del país como consecuencia de caso fortuito o de fuerza mayor.",Art. 42 fracc. II LOPSRM,LOPSRM,42-II,Acreditar caso fortuito o fuerza mayor | Fundar y motivar por escrito (Art. 41 LOPSRM) | Informar al Comité de Obras tras concluir el procedimiento (no exige dictamen previo del Comité para esta fracción),true,ALTO,true,1
LOPSRM_42_III_PERDIDAS_COSTOS,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. III: existan circunstancias que puedan provocar pérdidas o costos adicionales importantes, entre otros, de vida, de salud, medio ambiente, servicios públicos o económicos, debidamente justificados.",Art. 42 fracc. III LOPSRM,LOPSRM,42-III,Cuantificar y justificar las pérdidas o costos adicionales | Dictamen de excepción fundado y motivado,true,ALTO,true,1
LOPSRM_42_V_URGENCIA_EVENTUALIDAD,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. V: derivado de caso fortuito o fuerza mayor, no sea posible ejecutar los trabajos mediante licitación pública en el tiempo requerido para atender la eventualidad; limitarse a lo estrictamente necesario. La falta de planeación NO es caso fortuito ni fuerza mayor.",Art. 42 fracc. V LOPSRM,LOPSRM,42-V,Acreditar eventualidad y que la LP no es viable en el tiempo requerido | Limitar alcance a lo estrictamente necesario | No invocar falta de planeación como fundamento,true,ALTO,true,1
LOPSRM_42_VI_RESCISION,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. VI: se hubiere rescindido el contrato por causas imputables al contratista ganador de una licitación; puede adjudicarse al siguiente solvente más bajo si la diferencia de precio no supera 10% (o siguiente en puntos y porcentajes), con suficiencia presupuestaria.",Art. 42 fracc. VI LOPSRM,LOPSRM,42-VI,Constancia de rescisión por causas imputables al contratista | Verificar margen ≤ 10% o siguiente calificación | Suficiencia presupuestaria,false,MEDIO,true,1
LOPSRM_42_VII_LICITACION_DESIERTA,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,"LOPSRM Art. 42 fracc. VII: se haya declarado desierta una licitación pública, siempre que se mantengan los requisitos de la convocatoria cuyo incumplimiento fue causa de desechamiento por afectar la solvencia.",Art. 42 fracc. VII LOPSRM,LOPSRM,42-VII,Acta de licitación desierta | Mantener requisitos de la convocatoria original relevantes a solvencia,true,MEDIO,true,1
LOPSRM_42_VII_BIS_INVITACION_DESIERTA,MX-FED-OBRA,PROCEDURE_EXCEPTION,ADJUDICACION,LOPSRM-DOF-2025-11-14,LOPSRM Art. 42 fracc. VII Bis: invitación a cuando menos tres personas declarada desierta; la persona titular del área responsable podrá adjudicar directamente sin modificar los requisitos de la invitación.,Art. 42 fracc. VII Bis LOPSRM,LOPSRM,42-VII-Bis,Acta de invitación desierta | No modificar requisitos de la invitación,false,MEDIO,true,1
LAASSP_54_I_PROVEEDOR_UNICO,MX-FED-ADQ,PROCEDURE_EXCEPTION,ADJUDICACION,LAASSP-DOF-2025-04-16,"LAASSP Art. 54 fracc. I: no existan bienes o servicios alternativos o sustitutos técnicamente razonables, o en el mercado sólo existe un posible oferente, o titularidad/licenciamiento exclusivo de patentes, derechos de autor u otros derechos exclusivos, o obras de arte.",Art. 54 fracc. I LAASSP,LAASSP,54-I,Investigación de mercado que acredite oferente único o ausencia de sustitutos | Fundamento y motivación por escrito (Art. 53 LAASSP),true,ALTO,true,1
LAASSP_54_II_CASO_FORTUITO,MX-FED-ADQ,PROCEDURE_EXCEPTION,ADJUDICACION,LAASSP-DOF-2025-04-16,"LAASSP Art. 54 fracc. II: peligre o se altere el orden social, la economía, los servicios públicos, la salubridad, la seguridad o el ambiente como consecuencia de caso fortuito o de fuerza mayor.",Art. 54 fracc. II LAASSP,LAASSP,54-II,Acreditar caso fortuito o fuerza mayor | Justificación del área usuaria/requirente,true,ALTO,true,1
LAASSP_54_V_URGENCIA_EVENTUALIDAD,MX-FED-ADQ,PROCEDURE_EXCEPTION,ADJUDICACION,LAASSP-DOF-2025-04-16,"LAASSP Art. 54 fracc. V: derivado de caso fortuito o fuerza mayor, no sea posible obtener bienes o servicios mediante LP en el tiempo requerido; cantidades limitadas a lo estrictamente necesario. La falta de planeación no es caso fortuito ni fuerza mayor.",Art. 54 fracc. V LAASSP,LAASSP,54-V,Limitar cantidades/conceptos a lo estrictamente necesario | No invocar falta de planeación,true,ALTO,true,1
